source_id,source,summary
14-0,"Militants armed with guns and grenades gained entry after one detonated explosives at a hospital gate and then opened fire on staff and patients. Commandos who landed on the Sardar Daud hospital roof killed all four attackers after several hours of fighting. The so-called Islamic State (IS) group has claimed the attack. The Taliban has denied any involvement. More than 50 people were also wounded, the defence ministry said. World powers jostle in Afghanistan's new 'Great Game' How successful has IS been in Afghanistan? Stuck between IS and the Taliban President Ashraf Ghani said the attack at the 400-bed hospital ""trampled all human values"". "" In all religions, a hospital is regarded as an immune site and attacking it is attacking the whole of Afghanistan,"" he said. The attack began at 09:00 local time (04:30 GMT). One hospital staff member who was able to get out saw an attacker ""wearing a white coat holding a Kalashnikov and opening fire on everyone, including the guards, patients and doctors"". One employee wrote on Facebook: ""Attackers are inside the hospital. Pray for us."" The hospital attack marks a change in approach by so-called Islamic State fighters in Afghanistan - it's the first time they have engaged directly with security forces in the capital. Previously they have targeted civilian gatherings, mainly of Shia Muslims, as well as causing carnage at the Supreme Court last month. But at the hospital they used an approach more commonly associated with the Taliban - blowing the gates open to allow gunmen to enter. This suggests they now have the resources and the military training to expand their attacks. If that's the case, the security forces could face more such assaults in the coming months. In the two years since it announced its presence in Afghanistan, IS has mainly engaged with Afghan forces - and more powerful, rival Taliban fighters - in the east, near the Pakistan border. It has failed so far to widen its base in the country - one reason, observers suggest, it may now be mounting more headline-grabbing attacks. The government claims it has rooted out IS militants from a number of bases in the east - but has yet to dislodge them from mountainous areas they control. TV pictures showed people hiding from the gunmen on ledges outside windows on upper floors of the building. More than six hours after the attack began, interior ministry spokesman Sediq Sediqqi tweeted that special forces had ended their operation and all the attackers were dead. The IS-affiliated Amaq news agency shared two images via the Telegram messaging app that appeared to show one of the militants taking part in the assault and a number of dead bodies. Afghanistan's de-facto deputy leader Abdullah Abdullah also condemned the attack on Twitter and vowed to ""avenge the blood of our people"". IS announced it was moving into Afghanistan and Pakistan when it declared its so-called Khorasan Province in 2015 and has since carried out a number of attacks. In July 2016, a suicide bomb attack on a rally in Kabul killed about 80 people. Three months later, two similar attacks during the religious festival of Ashura claimed about 30 lives and in November 2016 an attack at a mosque in Kabul killed more than 30. IS also claimed a suicide attack at Kabul's Supreme Court last month that killed 22 people and has stepped up activity in both Afghanistan and Pakistan. The Taliban has also been carrying out attacks, killing 16 people in Kabul in suicide attacks a week ago, after beginning its Spring offensive early.","# Summary: Hospital Attack in Afghanistan

Armed militants from the Islamic State (IS) attacked Sardar Daud hospital in Afghanistan, beginning when one attacker detonated explosives at the gate before gunmen opened fire on staff and patients. Afghan commandos responded, killing all four attackers after several hours of fighting. The attack left more than 50 wounded, while the Taliban denied involvement. President Ashraf Ghani condemned the assault, stating it ""trampled all human values."" 

This attack marks a tactical shift for IS in Afghanistan, as it's their first direct engagement with security forces in Kabul, previously focusing on civilian targets. Since establishing presence in Afghanistan in 2015, IS has conducted several major attacks, including bombings at a rally (80 killed), during Ashura (30 killed), at a mosque (30+ killed), and at the Supreme Court (22 killed). Meanwhile, the Taliban continues its own offensive in the region."
14-1,"Mukherjee's The Lives Of Others, a sweeping account of life in 1960s Calcutta, is 5/2 favourite to win with bookmakers William Hill. It is the first year that the prize is open to all authors writing in English, regardless of nationality. The winner will be announced at London's Guildhall on Tuesday night. Former Booker winner Howard Jacobson is among three British writers, two Americans and an Australian on this year's shortlist. Also on the list are Ali Smith, Joshua Ferris, Karen Joy Fowler and Richard Flanagan, who is next in the betting at 3/1. Jacobson, who won in 2010 for his comic novel The Finkler Question, is nominated for his futuristic love story J. It features two main characters who inhabit a world where the past is not spoken about and is shrouded in suspicion, referred to as ""What Happened, If It Happened"". Mukherjee's The Lives of Others begins in Calcutta in 1967, and which focuses on the secrets and rivalries within a family against a backdrop of political activism. Inverness-born Smith's How To Be Both tells two interlinking stories, one about a renaissance artist in 15th Century Italy, the other about a child of the 1960s - and the reader can decide which half to read first. She has been shortlisted twice before, with 2005's The Accidental and Hotel World in 2001. American Ferris's third novel, To Rise Again at a Decent Hour, looks at atheism through the eyes of a New York dentist, who is puzzled when someone sets up an online Facebook and Twitter account in his name. The other American is Fowler, who is nominated for We Are All Completely Beside Ourselves. The book, narrated by a college student Rosemary, tells the story of her  family: two parents and three children - one of whom turns out to be surprisingly special. Australia's Flanagan is the only non-British representative of the Commonwealth on the shortlist. He is nominated for The Narrow Road to the Deep North, a love story set against the construction of the Thailand-Burma Death Railway in World War Two. Of all the shortlisted novels, Fowler's We Are All Completely Beside Ourselves is by far the best-selling. Since it was published in March it has sold more than 55,000 copies, according to figures from Nielsen. The next closest is Ferris's To Rise Again at a Decent Hour with just over 6,000 sales since it was published at the end of May. The announcement of the final six on 9 September caused a sales spike for all the books on the shortlist.  Mukherjee's The Lives of Others, which sold 97 copies in the week before the announcement saw sales leap to 507 a week later. "" It's a weak list that is more notable for the novels it has omitted than for those that have made the cut,"" said David Brauner, professor of contemporary literature at the University of Reading. "" The strongest book on the list is Howard Jacobson's J, but I fear there may be some reluctance to make him a two-time winner so soon after Hilary Mantel's double win (with Wolf Hall and Bring Up the Bodies). "" John Sutherland's mischievous (or perhaps malicious) nomination of J at the top of his list of The Top 10 Unfinishable Novels in The Guardian last week won't have helped its chances either. "" It revives the perennial debate about whether the prize should be awarded on literary merit alone or whether it should only reward what Stella Rimington called 'readable' books."" This year marks is 46th year of the Booker Prize. The judging panel, chaired by AC Grayling, consists of Sarah Churchwell, Jonathan Bate, Daniel Glaser, Alastair Niven and Erica Wagner. Last year, the Booker was won by New Zealand's Eleanor Catton for The Luminaries. At 28, she was the youngest-ever winner. The shortlisted authors each receive £2,500 and a specially bound edition of their book. Coverage from this year's ceremony, where the prize will be presented by the Duchess of Cornwall. will be on the BBC News Channel from 2130 BST and on BBC Arts.","# Booker Prize 2014 Shortlist Summary

Neel Mukherjee's ""The Lives Of Others,"" about 1960s Calcutta, is the 5/2 favorite to win the 2014 Booker Prize. This marks the first year the prize is open to all English-language authors regardless of nationality. The shortlist includes six authors: three British (including former winner Howard Jacobson for ""J""), two Americans (Joshua Ferris and Karen Joy Fowler), and one Australian (Richard Flanagan). 

Fowler's ""We Are All Completely Beside Ourselves"" is the bestselling nominee with over 55,000 copies sold. The winner will be announced at London's Guildhall, with shortlisted authors receiving £2,500 and a specially bound edition of their book. The judging panel is chaired by AC Grayling. Last year's winner was 28-year-old Eleanor Catton, the youngest-ever recipient."
14-2,"Share this withEmailFacebookMessengerMessengerTwitterPinterestWhatsAppLinkedInCopy this linkAfter weeks of speculation about whether the Governor of the Bank of England would extend his time as its head in reaction to the referendum result, Mark Carney surprised many people in the City and in government by announcing a decision that few had considered. Although many officials at the Bank believed that Mark Carney had two options before him - stay until 2021 or leave as originally intended in 2018 - the governor proffered a third. Extend, yes, but for just one more year. Superficially, it appeared to be a rather awkward fudge. Did Mr Carney feel under political pressure not to extend until 2021 despite wanting to?Was he so disillusioned by the gloomy economic predictions for the UK that he would rather not stick around to see the full effects of the Brexit vote?Or was there another issue weighing on his mind: how his family would feel about another three years in the UK with a father who is regularly away at some global summit or other one weekend in every two?The third, it appears, was the clincher. When Mr Carney took office in 2013, the notion that Britain would be beginning the difficult process of negotiating its way out of the European Union three years later (a process described by the former head of the World Trade Organisation, Pascal Lamy, as something akin to ""taking an egg out of omelette""), was a remote one. But that all changed on 23 June. Beyond trying to stabilise the economy, it also created a personal issue for the Governor. If he left in 2018 as originally agreed, it would be right in the middle of Britain's exit negotiations. Should he, therefore, extend his term to the full eight years that governors would usually be expected to serve?That might provide a greater level of certainty for jittery markets. And the Governor certainly understood the challenge of the job had changed, telling those close to him that an extension was an option and he ""wanted to serve"" - discussions which led to predictions in the media he would serve the full eight years. But, a number of weeks ago in far more private discussions, he started talking about a ""third way"" - the short extension. The reasons were personal and unique. In 2018, one of Mr Carney's four daughters will be finishing her A-levels, and another will be completing her GCSEs. Like everyone, I have personal circumstances that I have to manage. This is a role that requires total attention and devotion. I intend to give that for as long as I can. For his family, this was the perfect moment to return home to Canada and its much lauded education system. He hinted at how important that was in evidence to the economic affairs committee of the House of Lords last week. ""To be absolutely clear, it is an entirely personal decision,"" he said about whether he would extend his stay. ""No one should read anything into that decision as regards government policy - actual, imagined, potential, past. It is an absolute privilege for me to have this role. I fully recognise that. ""Like everyone, I have personal circumstances that I have to manage. This is a role that requires total attention and devotion. I intend to give that for as long as I can. Those are the only factors. ""Those around Mr Carney dismiss any notion of ""tension"" with the Prime Minister, who was certainly keen for the Governor to extend his period in office to 2021. However, Theresa May was clear that it was up to Mr Carney to make the decision. Neither did criticism from those who believe the Bank's pre-referendum economic forecasts were too gloomy about the effects of a Brexit vote get under his skin, they add. Professionally, Mr Carney was clear that it would difficult to leave in the teeth of the Brexit negotiations. But, with his family leaving in 2018 as originally planned, he only felt able to extend his time in the UK by one year. By then the Article 50 process of decoupling Britain from the EU should be complete. It will then be for a new Governor to plot Britain's economic future.","# Summary of Mark Carney's Bank of England Term Extension

Mark Carney, Governor of the Bank of England, surprised many by announcing a one-year extension to his term rather than either leaving in 2018 as originally planned or staying until 2021. This decision was primarily driven by personal considerations - in 2018, two of his daughters will be completing important educational milestones (A-levels and GCSEs), making it an ideal time for his family to return to Canada. 

While Carney recognized it would be problematic to leave mid-Brexit negotiations in 2018, he felt he could only extend his stay by one year beyond his family's departure. By 2019, the Article 50 process should be complete, allowing a new Governor to take over. Those close to Carney dismissed speculation about tensions with Prime Minister Theresa May or that criticism of the Bank's Brexit forecasts influenced his decision."
14-3,"The columnist told the newspaper last month that he had been diagnosed with the ""full English"" of cancers. Gill, who had been having chemotherapy, said that he did not ""feel cheated"" and had been ""very lucky"" in his life. Sunday Times editor Martin Ivens said Gill had been ""a giant among journalists"" and the ""heart and soul"" of the paper he joined in 1993. The final column by Gill, about coming to terms with his diagnosis, will be featured in tomorrow's Sunday Times. In a statement sent to staff on Saturday, Mr Ivens said: ""It is with profound sadness that I must tell you that our much-loved colleague Adrian Gill died this morning. "" Adrian was stoical about his illness, but the suddenness of his death has shocked us all."" He added: ""He was the heart and soul of the paper. His wit was incomparable, his writing was dazzling and fearless, his intelligence was matched by compassion. "" Adrian was a giant among journalists. He was also our friend. We will miss him."" Writing about his illness in November, Gill had said he had ""an embarrassment of cancer, the full English. "" There is barely a morsel of offal not included. I have a trucker's gut-buster, gimpy, malevolent, meaty malignancy."" Writers, broadcasters and journalists have paid tribute to the published author, who was known for dictating his copy over the telephone due to his dyslexia. Jay Rayner, the broadcaster and writer, tweeted that Gill had been a ""controversialist"" but also ""a kind man and a brilliant writer"". Sunday Times political editor Tim Shipman described Gill as ""the writer who first made me buy the Sunday Times"". "" The best of us for 30 years has died. Very sombre mood in the office,"" he added. Times Literary Supplement editor Stig Abell tweeted that Gill had been ""the first journalist I learned to recognise purely from his style"". John Witherow, editor of the Sunday Times from 1994 to 2012, said Gill had been extraordinary and unique. "" In all the years I was editor of The Sunday Times, he never once produced a boring sentence or a phrase that did not shine."" Another former editor, Andrew Neil, added: ""Hired AA for Sunday Times in 1993. He never forgot what he saw as huge favour. As one of finest writers of our time, he was doing the favour."" Former Daily Mirror editor and TV presenter Piers Morgan tweeted that Gill had ""trashed"" him for 20 years, but always did so ""with magnificently eloquent savagery"" as well as ""an irritating kernel of truth"". While his writing remained popular, Gill's articles often caused controversy. In October 2009, he described how he had shot a baboon while in Tanzania, prompting outrage from animal rights groups. In 1998, he described the Welsh as ""dark, ugly little trolls"" - a comment that was referred to the Commission for Racial Equality - while he once described Rhyl as ""a town only a man driving a crane with a demolition ball would visit with a smile"". In a critical review of a Norfolk pub, he referred to the county as the ""hernia on the end of England"", while in 2006 he upset residents of the Isle of Man by saying it ""smelled of boiled washing"". In 2010, he was censured by the former press watchdog having written a review of Clare Balding's 2010 Britain by Bike TV programme, in which he described her as a ""dyke on a bike"". He was also once thrown out of one of Gordon Ramsay's restaurants, along with his dining partner, actress Joan Collins. Born in Edinburgh in 1954, Gill had overcome dyslexia to forge a career as a writer. He went to the independent St Christopher School in Letchworth Garden City, Hertfordshire, and studied at the Central Saint Martins College of Art and Design and the Slade School of Fine Art, in London. He began his writing career in the 1980s with art reviews for magazines, before writing for Tatler and then the Sunday Times. His first marriage was to author Cressida Connolly in 1983. He married current Home Secretary Amber Rudd, who was then a venture capitalist, in 1991. They had two children together - Flora and Alistair - but later divorced. Gill's illness had prompted his engagement to his partner of 23 years, Nicola Formby, with whom he also had two children - twins Edith and Isaac. He said he had been ""surprisingly excited"" to be getting married to Ms Formby, who he often referred as ""The Blonde"" in his restaurant reviews.","# Adrian Gill: Celebrated Sunday Times Columnist Dies After Cancer Diagnosis

Adrian Gill, a prominent Sunday Times columnist known for his dazzling and fearless writing, has died following his recent cancer diagnosis. Last month, he had revealed he was suffering from what he called the ""full English"" of cancers and was undergoing chemotherapy.

Sunday Times editor Martin Ivens described Gill as ""a giant among journalists"" and ""the heart and soul"" of the paper he joined in 1993. Despite being controversial, Gill was widely respected for his distinctive writing style, with fellow journalists praising his brilliance and unmistakable voice. He famously dictated his articles by telephone due to his dyslexia.

Throughout his career, Gill sparked numerous controversies with provocative comments about Welsh people, Norfolk, the Isle of Man, and for describing shooting a baboon in Tanzania.

Born in Edinburgh in 1954, Gill was previously married to author Cressida Connolly and later to current Home Secretary Amber Rudd, with whom he had two children. His illness had prompted his engagement to his partner of 23 years, Nicola Formby, with whom he had twins."
14-4,"Little is beyond their reach. Official documents and private communications are made public, and websites blocked. They hijack CCTV cameras, electronic billboards and network printers. The best known of the virtual warriors are the Ukrainian Cyber Troops, the Cyber Berkut and Anonymous International. All three present themselves as independent activists, separate from other, government-sponsored groups. The most prominent pro-Ukrainians hackers are the Ukrainian Cyber Troops, led by Kiev-based programmer Yevhen Dokukin. Most recently, he claimed to have hacked into two Russian interior ministry servers and an email account used by police in Russia's Rostov region - bordering Ukraine's eastern separatist regions. "" I gave all this data to Ukraine's security service, but they still can't get round to analysing it, so do it yourselves,"" he urged readers on Facebook. Volunteer activist group Inform Napalm sifted through more than 35 gigabytes of the data and found what looked like official reports confirming that Russian military servicemen were among the hundreds of people evacuated to Russia after being wounded in Ukraine. The Ukrainian Cyber Troops make extensive use of one of the most tried and tested tools in cyber warfare, the distributed denial-of-service (DDoS) attack. "" DDoS attacks are the Ukrainian Cyber Troops' artillery,"" Mr Dokukin likes saying. Scores of rebel websites were made inaccessible when the Ukrainian Cyber Troops relentlessly bombarded them with fake service requests. To disrupt separatist funding, they target accounts held by rebels in electronic payment systems such as PayPal and WebMoney. The Cyber Troops have also hacked into public CCTV systems in rebel-held areas of eastern Ukraine and monitor them for the movement of troops and military hardware. On 8 December, Yevhen Dokukin claimed to have hijacked network printers in eastern Ukraine and Crimea to print pro-Ukrainian messages and insults against Russian President Vladimir Putin. Some media reports suggest that Ukraine's security services have used information obtained by hackers to direct artillery fire. But officials deny this. "" We only use data obtained by people we trust and know,"" Ukrainian military spokesman Oleksiy Dmytrashkivsky told the BBC. On the other side of the conflict is Cyber Berkut, a staunchly anti-Western group which takes its name from the riot police used against protesters during the unrest in Kiev that led to the ousting of President Viktor Yanukovych. The group's declared goal is thwarting Ukraine's military plans and thus stopping the ""genocide"" that it accuses Kiev of unleashing at America's behest. Its motto is ""We won't forgive or forget"", and its rhetoric closely resembles that of Russian state media. During US Vice-President Joe Biden's visit to Kiev on 20-21 November, Cyber Berkut hacked several Ukrainian government websites, placing a message on their front pages which read: ""Joseph Biden is the fascists' master."" Cyber Berkut claims to have retrieved confidential documents from a mobile device used by one member of Mr Biden's team while it was in Kiev. The documents appear to detail Washington's military assistance to Ukraine. Another stunt carried out by Cyber Berkut is the apparent hacking of electronic billboards in Kiev, which were made to show a video branding Ukrainian officials and activists ""war criminals"" and featuring highly graphic images of civilians killed in the current conflict. They also claim to have disrupted the electronic vote-counting systems ahead of October's parliamentary election in Ukraine, to have leaked Ukrainian defence ministry data on losses and desertions, and to have blocked President Petro Poroshenko's website. In addition, Russian tabloid Komsomolskaya Pravda quoted a Facebook conversation allegedly hacked by Cyber Berkut, in which Ukrainian officials appear to admit that their forces downed Malaysia Airlines flight MH17. The claim went largely ignored elsewhere and has never been verified. Russian activist group Anonymous International made its name by publishing leaked documents from the Kremlin. It is otherwise known as b0ltai or Shaltay Boltay, which translates as ""Humpty Dumpty"". What is not clear is whether it obtains material through hacking or are given it by Kremlin insiders. The group focuses on Russia's domestic affairs, but some of its material covers Ukraine. In  November it published a letter from a Russian fighter in eastern Ukraine suggesting that locals did not support the separatist forces. And in May it made headlines leaking what it said were emails to and from former Russian FSB colonel Igor Girkin, also known as Strelkov, who was then a key rebel commander in eastern Ukraine. Access to Anonymous International's website is currently blocked in Russia. BBC Monitoring reports and analyses news from TV, radio, web and print media around the world. For more reports from BBC Monitoring, click here. You can follow BBC Monitoring on Twitter and Facebook.","# Summary of Cyber Warfare in Ukraine-Russia Conflict

The passage details three main hacking groups operating in the Ukraine-Russia conflict, each claiming independence from government entities:

**Ukrainian Cyber Troops** led by programmer Yevhen Dokukin hack Russian government servers, use DDoS attacks against rebel websites, and monitor separatist areas through compromised CCTV systems. They target rebel funding by infiltrating payment systems and recently hijacked printers to distribute pro-Ukrainian messages.

**Cyber Berkut**, a pro-Russian group named after riot police used against Kiev protesters, focuses on disrupting Ukrainian government operations. Their activities include hacking government websites during Biden's visit to Kiev, compromising electronic billboards to display graphic war imagery, and allegedly interfering with election systems.

**Anonymous International** (also known as ""Humpty Dumpty"") primarily leaks Kremlin documents, though it's unclear whether through hacking or insider sources. They've released materials about Russian involvement in eastern Ukraine, including communications from a prominent rebel commander.

Ukrainian officials deny using hacker-obtained intelligence for military operations, despite some reports suggesting otherwise."
5-0,"The former Manchester City man, 30, won 61 caps for England after making his senior debut in 2009. He was a squad member at two World Cups and two European Championships but played just three minutes at Euro 2016. "" The decision we've reached is about common sense. I wish Sam [Allardyce], the players, staff and supporters success in the future,"" Milner said. Milner also holds the record for the most capped England Under-21 player, picking up 46 caps after making his first appearance in 2004. He scored his first, and only, international goal in England's 5-0 victory over Moldova at the 2014 Fifa World Cup qualifiers.","# Summary: James Milner Retires from England International Duty

The 30-year-old former Manchester City player has retired from England duty after earning 61 caps since his 2009 debut. Milner participated in four major tournaments (two World Cups and two European Championships), though he played just three minutes at Euro 2016. He also holds the record for most England Under-21 appearances with 46 caps. Throughout his international career, Milner scored only once, during a 5-0 World Cup qualifying victory over Moldova in 2014."
5-1,"Brad Wilk . He is best known as the drummer of the rock bands Rage Against the Machine ( 1991 -- 2000 ; 2007 -- 11 ) and Audioslave ( 2001 -- 07 ) . Wilk started his career as a drummer for Greta in 1990 , and helped co-found Rage with Tom Morello and Zack de la Rocha in August 1991 . As of 2016 , he is playing in the band Prophets of Rage , with Commerford , Morello , Chuck D , B-Real and DJ Lord . Rage is a German heavy metal band , formed in 1984 by Peter `` Peavy '' Wagner .","# Brad Wilk Summary

Brad Wilk is a drummer known primarily for his work with Rage Against the Machine (1991-2000; 2007-11) and Audioslave (2001-07). His career began with the band Greta in 1990 before he co-founded Rage Against the Machine with Tom Morello and Zack de la Rocha in August 1991. As of 2016, Wilk performs with Prophets of Rage alongside Commerford, Morello, Chuck D, B-Real and DJ Lord. The passage also mentions that Rage is a separate German heavy metal band formed in 1984 by Peter ""Peavy"" Wagner."
5-2,"kilmarnock interim manager gary locke has been given the role on a permanent basis after signing a three-year deal . 
the former hearts boss joined the club as assistant boss to allan johnston last summer
but took control of the team when his ex-tynecastle team-mate quit at the start of february . 
the 41-year-old - who will speak at a press conference on friday morning - has lost just once in seven games since taking over at rugby park . 
gary locke has been given the job at kilmarnock on a permanent basis after a successful interim spell
locke shakes hands with chairman jim mann after signing a three-year deal at the club","# Summary

Gary Locke has been appointed as Kilmarnock's permanent manager on a three-year contract after a successful stint as interim boss. Locke initially joined the club last summer as assistant to Allan Johnston before taking over when Johnston quit in February. The former Hearts manager has impressed during his temporary role, losing just once in seven games. He finalized the permanent position by signing the contract with Kilmarnock chairman Jim Mann."
5-3,"Fox News . Rupert Murdoch is the current chairman and acting CEO of Fox News . James Rupert Jacob Murdoch ( [ ˈmɜrdɒk ] born 13 December 1972 ) is an Australian , British , American businessman , the younger son of media mogul Rupert Murdoch , the chief executive officer ( CEO ) of 21st Century Fox , and chairman of Sky plc. . Rupert Murdoch . Murdoch thus had full control as Chairman and CEO of global media holding company News Corporation , now the world 's second-largest media conglomerate , and its successors , News Corp and 21st Century Fox , after the conglomerate split on 28 June 2013 .","# Summary

The passage describes the Murdoch family's media leadership positions. Rupert Murdoch serves as the current chairman and acting CEO of Fox News. His younger son, James Rupert Jacob Murdoch (born December 13, 1972), is an Australian-British-American businessman who holds positions as CEO of 21st Century Fox and chairman of Sky plc. The passage also notes that Rupert Murdoch previously had full control as Chairman and CEO of News Corporation, which was the world's second-largest media conglomerate before splitting into News Corp and 21st Century Fox on June 28, 2013."
15-0,"veteran actor robert hardy is selling his enormous collection of antiques in a £ 100,000 auction after deciding to downsize his home . 
the star , known for appearing in all creatures great and small and playing winston churchill several times , is auctioning off more than 200 items he has collected over his career . 
mr hardy , 89 , is a keen military historian who studied english with j.r.r. tolkien and is now an expert on the medieval longbow . 
sale : actor robert hardy is selling off his collection of antiques including a diorama of the battle of agincourt
cabinets : a pair of early victorian items of furniture made by gillows of lancaster which are set to fetch up to £ 4,000 at the auction on saturday
portrait : a painting of mr hardy holding a longbow , reflecting his interest in medieval history
one of the most unusual items featured in the auction of his possessions is a hand-painted limewood diorama depicted the progress of the battle of agincourt in 3d . 
the piece was created by artist l.m. rendall in the 1960s after being commissioned by mr hardy himself , and has an estimate of £ 4,000 to £ 6,000 . 
there is also a longbow made from yew with a mother-of-pearl handle , as well as a portrait of mr hardy holding the bow , which is set to sell for up to £ 2,000 . 
the actor is also selling paintings , furniture , swords , flintlock rifles , silverware and a fine collection of crystal chandeliers . 
diorama : the 3d model was commissioned specially by mr hardy from artist l.m. rendall in the 1960s
close-up : the piece was rendered in amazing detail showing the progress of the battle in 1415
luxurious : a view of many of the items of furniture and other antiques which are being sold
dozens of books , some dating back to the 17th century , are included in the auction which is set to take place this saturday . 
a total of 238 lots are being sold by dominic winter auctioneers at its saleroom in south cerney , gloucestershire . 
mr hardy , who lives in the cotswolds , said that he was sad to sell his collection . 
` downsizing and losing a great part of a treasured library makes for sadness , ' he said . 
` entrusting it all to dominic winter and co has taken away much of the pain , and through them i wish anyone who comes to possess anything that was mine as much joy and pleasure as it has given me through the years . ' 
historical : an early 20th-century painting of alfred the great rebuilding london , by frank owen salisbury
auction : the objects are being sold at dominic winter in gloucestershire on saturday
pride : mr hardy pictured in 2012 with the longbow and other objects from his collection
he has built up the haul of antiques thanks to his interest in classic literature and military history . 
mr hardy was taught by tolkien and c.s. lewis when he studied english at magdalen college , oxford , and he has published two books on the history of the longbow . 
he was also consulted as an expert during the raising of the tudor shipwreck the mary rose . 
mr hardy , a close friend of richard burton , worked with top actors including laurence olivier , john gielgud and judi dench during his early days as a shakespearean specialist . 
he found national fame playing vet siegfried farnon in all creatures great and small , the hit bbc drama which aired between 1978 and 1990 and also starred lynda bellingham . 
star : mr hardy , left , is known for his role as vet siegriein the bbc 's all creatures great and small
role : he has frequently played winston churchill in a series of television dramas
new generation : mr hardy appeared as minister for magic cornelius fudge in the harry potter films
the actor is well known for portraying winston churchill in a number of television performances , and has also played churchill 's fellow second world war leader franklin d. roosevelt . 
more recently , he introduced himself to a younger generation of viewers with an appearance in the harry potter films , where he played cornelius fudge , the minister for magic . 
mr hardy was forced to retire from stage acting two years ago , when he suffered a fall while playing churchill again in the audience , a west end play about the queen which starred helen mirren . 
however , he has insisted that he will continue to do television work despite his advanced age .","# Summary: Robert Hardy Auctions Antique Collection

Veteran actor Robert Hardy (89) is selling his extensive antique collection valued at £100,000 after deciding to downsize. The auction features over 200 items including a hand-painted Battle of Agincourt diorama (estimated £4,000-6,000), a yew longbow, furniture, weapons, silverware, chandeliers, and rare books dating to the 17th century. 

Hardy, known for ""All Creatures Great and Small"" and portraying Winston Churchill multiple times, is a military historian who studied under J.R.R. Tolkien and is an expert on medieval longbows. More recently, he played Cornelius Fudge in the Harry Potter films.

Though expressing sadness about parting with his treasures, Hardy hopes the new owners will derive as much joy from the items as he has. The auction will be conducted by Dominic Winter auctioneers in Gloucestershire."
